2023-09-21,Clothing,661,epayment,other
2023-09-14,Gifts,53,onlinebanking,other
2023-09-30,Phone Bill,299,epayment,Entertainment
2023-09-22,Dental Checkup,74,creditcard,food
2023-09-26,Dental Checkup,736,onlinebanking,EMI
2023-09-17,Rent,159,creditcard,Business
2023-09-07,Pet Expenses,394,cash,food
2023-10-03,Dining Out,209,onlinebanking,food
2023-09-30,Utilities,869,debitcard,food
2023-09-17,Gasoline,396,onlinebanking,EMI
2023-09-21,Restaurant,46,onlinebanking,Rent
2023-09-27,Utilities,864,onlinebanking,EMI
2023-09-19,Property Taxes,75,onlinebanking,Business
2023-09-17,Life Insurance,564,cash,other
2023-09-27,Life Insurance,279,epayment,Rent
2023-09-26,Dining Out,307,creditcard,Business
2023-09-24,Amazon Shopping,288,cash,Rent
2023-09-18,Transportation,750,creditcard,Rent
2023-10-01,Childcare,982,onlinebanking,other
2023-09-14,Transportation,776,epayment,EMI
2023-09-18,Snacks,149,epayment,other
2023-10-02,Clothing,901,onlinebanking,food
2023-09-06,Amazon Shopping,970,debitcard,Business
2023-09-15,Travel Expenses,238,debitcard,EMI
2023-09-14,Vacation,101,onlinebanking,other
2023-09-29,Investment,203,cash,other
2023-09-26,Rent,585,epayment,food
2023-09-16,Fast Food,518,epayment,food
2023-09-13,Childcare,493,cash,EMI
2023-10-04,Coffee,757,cash,Business
2023-09-19,Netflix Subscription,494,onlinebanking,Business
2023-09-13,Life Insurance,351,cash,EMI
2023-09-21,Medical Bills,719,onlinebanking,Business
2023-09-26,Snacks,358,cash,food
2023-09-24,Books,998,creditcard,other
2023-09-27,Books,915,creditcard,food
2023-09-27,Restaurant,318,onlinebanking,EMI
2023-09-20,Transportation,29,onlinebanking,EMI
2023-09-29,Rent,637,cash,Entertainment
2023-09-09,Childcare,275,epayment,Business
2023-09-23,Transportation,699,onlinebanking,Rent
2023-09-07,Pet Expenses,607,cash,food
2023-10-02,Clothing,22,creditcard,EMI
2023-09-22,Phone Bill,995,epayment,food
2023-09-20,Gasoline,322,cash,Entertainment
2023-09-19,Hobbies,721,creditcard,Rent
2023-09-26,Laundry,185,debitcard,food
2023-09-14,Charity Donations,256,creditcard,Entertainment
2023-09-12,Transportation,156,creditcard,other
2023-09-17,Coffee,467,debitcard,other
2023-09-28,Amazon Shopping,123,creditcard,Entertainment
2023-09-28,Tuition Fees,370,debitcard,Entertainment
2023-09-07,Travel Expenses,130,cash,food
2023-09-30,Phone Bill,883,onlinebanking,Business
2023-09-11,Transportation,776,creditcard,Entertainment
2023-09-18,Credit Card Payment,574,debitcard,Business
2023-10-02,Home Mortgage,883,epayment,Business
2023-10-04,Vacation,228,creditcard,Business
2023-09-11,Education,484,debitcard,Rent
2023-09-18,Property Taxes,134,creditcard,Business
2023-09-22,Property Taxes,343,epayment,Entertainment
2023-09-09,Haircut,933,debitcard,Business
2023-09-19,Tuition Fees,876,debitcard,EMI
2023-09-23,Magazines,43,cash,Entertainment
2023-09-14,Water Bill,128,onlinebanking,Business
2023-09-09,Investment,703,epayment,food
2023-10-02,Tuition Fees,303,epayment,EMI
2023-09-29,Childcare,210,onlinebanking,food
2023-09-28,Snacks,810,creditcard,EMI
2023-09-21,Travel Expenses,820,epayment,Rent
2023-09-06,Car Insurance,640,debitcard,Entertainment
2023-09-28,Dental Checkup,34,onlinebanking,other
2023-09-09,Electricity Bill,423,epayment,EMI
2023-09-27,Gym Membership,721,onlinebanking,other
2023-09-29,Home Mortgage,924,epayment,EMI
2023-09-13,Loan Repayment,517,cash,Rent
2023-09-29,Car Insurance,429,epayment,Business
2023-10-02,Vacation,547,epayment,food
2023-09-09,Dental Checkup,269,creditcard,Entertainment
2023-09-09,Restaurant,28,epayment,Entertainment
2023-10-02,Investment,900,creditcard,Rent
2023-09-19,Phone Bill,5,epayment,Entertainment
2023-09-09,Hobbies,29,debitcard,Rent
2023-10-05,Childcare,764,creditcard,Rent
2023-10-04,Pet Expenses,807,debitcard,Entertainment
2023-09-27,Childcare,955,cash,Entertainment
2023-09-20,Laundry,633,epayment,EMI
2023-09-12,Travel Expenses,266,onlinebanking,EMI
2023-10-03,Dental Checkup,341,cash,food
2023-10-03,Travel Expenses,973,epayment,EMI
2023-09-26,Magazines,689,epayment,EMI
2023-09-21,Cigarettes,866,cash,Business
2023-09-08,Gifts,485,epayment,Business
2023-10-04,Transportation,73,debitcard,Entertainment
2023-09-30,Groceries,626,creditcard,EMI
2023-09-13,Investment,145,creditcard,food
2023-09-24,Phone Bill,879,onlinebanking,Entertainment
2023-09-07,Fast Food,166,epayment,Business
2023-09-19,Investment,763,epayment,Rent
2023-09-06,Books,525,epayment,Entertainment
2023-09-06,Laundry,874,onlinebanking,other
2023-09-23,Haircut,42,onlinebanking,Entertainment
2023-10-02,Charity Donations,88,epayment,EMI
2023-09-17,Netflix Subscription,705,creditcard,EMI
2023-09-15,Dining Out,429,cash,Entertainment
2023-09-11,Transportation,64,onlinebanking,other
2023-09-15,Gasoline,34,epayment,Entertainment
2023-09-20,Phone Bill,409,epayment,EMI
2023-09-10,Home Repairs,380,cash,EMI
2023-10-04,Amazon Shopping,408,cash,other
2023-09-16,Haircut,963,debitcard,food
2023-09-08,Travel Expenses,680,epayment,Entertainment
2023-09-21,Insurance,883,onlinebanking,Entertainment
2023-09-18,Property Taxes,947,creditcard,Rent
2023-09-26,Phone Bill,355,creditcard,EMI
2023-09-26,Education,1,creditcard,food
2023-09-07,Loan Repayment,363,debitcard,EMI
2023-09-11,Entertainment,495,onlinebanking,Rent
2023-09-09,Education,576,cash,Entertainment
2023-09-15,Hobbies,970,onlinebanking,Business
2023-09-20,Dental Checkup,150,debitcard,Entertainment
2023-09-07,Dental Checkup,404,epayment,food
2023-09-09,Restaurant,961,debitcard,Business
2023-09-08,Alcohol,678,epayment,Rent
2023-09-13,Cigarettes,103,creditcard,other
2023-09-13,Books,754,cash,other
2023-09-30,Internet Bill,318,cash,Entertainment
2023-10-02,Internet Bill,256,cash,Entertainment
2023-10-05,Entertainment,248,creditcard,other
2023-09-08,Home Mortgage,106,debitcard,food
2023-10-04,Hobbies,157,onlinebanking,Business
2023-09-20,Medical Bills,751,cash,other
2023-09-26,Magazines,596,cash,Entertainment
2023-09-18,Amazon Shopping,667,debitcard,other
2023-09-15,Groceries,303,epayment,food
2023-09-24,Utilities,467,creditcard,food
2023-09-11,Car Insurance,225,epayment,other
2023-09-08,Insurance,515,cash,Entertainment
2023-09-26,Dining Out,549,epayment,Rent
2023-09-06,Transportation,381,creditcard,Rent
2023-09-27,Travel Expenses,938,creditcard,food
2023-09-15,Restaurant,179,epayment,food
2023-09-24,Groceries,670,cash,food
2023-09-06,Medical Bills,822,epayment,Business
2023-09-14,Laundry,899,debitcard,Entertainment
2023-09-27,Charity Donations,251,debitcard,Rent
2023-09-11,Medical Bills,650,onlinebanking,EMI
2023-09-25,Rent,355,debitcard,EMI
2023-10-05,Gym Membership,716,cash,food
2023-09-11,Groceries,724,cash,Business
2023-09-10,Haircut,411,creditcard,Business
2023-09-11,Travel Expenses,852,epayment,Rent
2023-09-30,Medical Bills,904,cash,EMI
2023-09-22,Travel Expenses,102,cash,other
2023-09-08,Hobbies,576,epayment,EMI
2023-09-07,Coffee,581,onlinebanking,Rent
2023-09-16,Gym Membership,780,creditcard,food
2023-09-12,Vacation,659,creditcard,Entertainment
2023-09-21,Netflix Subscription,680,cash,Business
2023-09-30,Home Repairs,200,cash,EMI
2023-10-01,Books,527,cash,Entertainment
2023-09-29,Gifts,84,creditcard,food
2023-10-05,Investment,869,onlinebanking,other
2023-09-06,Fast Food,564,cash,Entertainment
2023-09-10,Electricity Bill,879,epayment,EMI
2023-09-13,Travel Expenses,451,creditcard,Business
2023-10-05,Dining Out,3,onlinebanking,Rent
2023-09-21,Savings,25,onlinebanking,food
2023-09-09,Life Insurance,951,debitcard,other
2023-09-16,Loan Repayment,622,onlinebanking,food
2023-10-03,Transportation,750,cash,EMI
2023-09-14,Cigarettes,502,epayment,other
2023-09-28,Dental Checkup,780,cash,Business
2023-09-09,Home Mortgage,105,epayment,food
2023-09-11,Restaurant,453,epayment,EMI
2023-10-01,Pet Expenses,791,epayment,EMI
2023-09-26,Haircut,152,debitcard,EMI
2023-09-26,Education,849,onlinebanking,other
2023-09-14,Credit Card Payment,247,cash,other
2023-09-26,Dining Out,182,creditcard,other
2023-09-28,Home Repairs,722,onlinebanking,EMI
2023-09-13,Transportation,811,onlinebanking,Entertainment
2023-09-12,Hobbies,366,debitcard,Rent
2023-10-03,Books,90,epayment,food
2023-09-30,Magazines,833,cash,other
2023-09-21,Credit Card Payment,595,debitcard,Rent
2023-10-03,Cigarettes,822,onlinebanking,EMI
2023-09-16,Water Bill,782,epayment,food
2023-09-23,Laundry,8,creditcard,EMI
2023-09-08,Home Mortgage,279,creditcard,food
2023-10-01,Property Taxes,348,debitcard,other
2023-09-24,Charity Donations,288,epayment,Business
2023-09-19,Car Insurance,236,debitcard,other
2023-09-14,Credit Card Payment,550,onlinebanking,Business
2023-09-14,Transportation,136,creditcard,EMI
2023-09-29,Gifts,540,onlinebanking,food
2023-10-02,Car Payment,614,onlinebanking,Rent
2023-09-07,Entertainment,179,onlinebanking,other
2023-09-08,Groceries,243,creditcard,Business
2023-10-05,Dining Out,223,cash,Business
2023-09-24,Dental Checkup,945,debitcard,Rent
2023-09-26,Clothing,477,debitcard,Entertainment
2023-09-23,Cigarettes,914,creditcard,EMI
2023-09-07,Magazines,323,epayment,EMI
2023-09-18,Electricity Bill,364,epayment,Business
2023-09-20,Hobbies,413,epayment,other
2023-09-24,Magazines,198,epayment,Rent
2023-09-14,Restaurant,204,onlinebanking,Entertainment
2023-09-13,Water Bill,767,epayment,Rent
2023-09-17,Insurance,296,cash,Entertainment
2023-09-21,Travel Expenses,714,creditcard,Rent
2023-09-12,Life Insurance,73,onlinebanking,EMI
2023-09-14,Education,88,debitcard,Entertainment
2023-09-27,Medical Bills,408,creditcard,Entertainment
2023-09-15,Utilities,245,onlinebanking,EMI
2023-10-05,Gifts,895,creditcard,Business
